episode_id,section_index,gender,minutes,tunnus,lause
20190108,4,M,5.474666666666667,uskuma,"Ma usun , et nad lõpuks vähemalt keegi neist on ka , panen jah ."
20190108,5,M,20.710666666666665,uskuma,"Võiks võita medalit , et kui ma Kui ma juba usun , et ta enam-vähem püsib praegusel tasemel , ehk siis talle jääb see tase , kus ta on suuteline vähemalt ühel katsel sellel hooajal välgatama 90 meetrise kaarega mida ta tegelikult sinna lähedale jõudis eelmisel aastal rohkem kui ühe korra , siis noh , Mul on keeruline näha , miks ta ei , ütleme tõenäoliselt ta võidab , medali on juba üksinda tegelikult üle 50 protsendi selle pealt puhtalt ütlen , ja tänavune MM on tast eriline ."
20200319,0,M,8.516166666666667,uskuma,"Kes ehitavad , nad ehitavad edasi , nagu ma usun , keegi praegu kohe ei hakka nagu ehitustööd peatama ."
20200319,1,M,2.3593333333333333,uskuma,"Aga ma usun üleüldiselt , meie jaoks see on , ütleme kaasaegses majanduses , see on üsna Uus olukord ."
20210413,2,M,24.133833333333335,uskuma,"Selles mõttes , et see on vot ja see tegelikult ja see on nagu töö , mis sind selle punktini viib ja ma arvan tegelikult , et ma , ma usun , et iga muusik peaks kogu aeg tegema seda tööd ja mitte üritama olla kellegi teise moodi , vaid nagu leidma iseennast üles , et mida tal on öelda ."
20210413,4,M,12.370666666666663,uskuma,"Et siis sa avastada , et äkki sa olid umbes restauraator , aga tegelikult sinus oli peidus suur muusik ja kusjuures sa võid olla mõlemad , justkui ma ei tea , kuidas , aga ma usun , et inimesed , kes tõeliselt tahavad , leiavad selle võimaluse ."
20201231,5,M,37.325833333333335,uskuma,"Aga noh , selles mõttes , et seda ma usun küll , et konspiratsiooniteoreetikud osavad konspiratsiooniteoreetikud Oskavad ära kasutada mingite inimeste ?"
20201231,6,M,13.087999999999996,uskuma,"Ma arvan , et ma usun , et selles konkreetses seal oli , neil oli nagu võetud mingi inimene , kes parasjagu on selles koroona viiruse aktiivses faasis ja teatud Viiruse tasemega niisugune , et niisugune soodne , mingisugune olukord ."
20190115,2,M,14.613833333333332,uskuma,"Et et , et nüüd lõpuks leidis mees siis oma koha , kust ma usun , et nüüd küll enam ei lükata teda kunagi kõrvale sealt , no seda kunagi seda ei tea ."
20190115,3,M,8.922666666666665,uskuma,"Ma usun , et Martin Fourcade väga tahaks rääkida , kusjuures Prantsusmaal on teatud teemad väga aktuaalsed , millest Peep on ."
20190904,0,M,10.242,uskuma,"Aga see on küll kindlasti vale , et ta allveelaevaga põgenes , et palju lihtsam oleks olnud tal lihtsalt välja lennata nagu et kuigi nagu liitlastel oli see nagu õhuline täielik ülekaal , siis mina usun , et ta oleks suutnud nagu välja lennata ."
20190904,0,M,10.242,uskuma,"Ma ikka usun jah , et on ümmargune ."
20190904,1,M,19.144999999999996,uskuma,"Vot seda , mina usun näiteks et tulebki kunagi robotite vastu seda ?"
20190904,1,M,19.144999999999996,uskuma,"No kui ma võtan enda seisukohast , siis mina usun seda asja ."
20190904,3,M,23.900166666666664,uskuma,"Kui Soome ei ole , no kus ta siis on nagu ei mulle , mina , Soome on olemas , ma usun ka , et Soome on olemas lihtsalt Arnold Loksma pärast nagu ja tõsi , see on hea , aga ."
20190904,3,M,23.900166666666664,uskuma,"Siuke asja ei ole olemas ja ei ole jah , mina armastan süsteemi ja mina usun valitsust ."
20190904,3,M,23.900166666666664,uskuma,"Ma usun küll Mina ütlen , et see on puhas , kokku sattumas , mina seda asja ei usu , see ega see simpsonite looja , vaata ka ütles , et nagu me oleme , nii palju episoode , me oleme tõesti sadu ja sadu episoode teinud on ja et nagu mingi aja jooksul on ju väga suur tõenäosus , et lihtsalt mingid asjad satuvad kokku , vaata et me oleme nii palju igast nalja teinud ja nagu , nagu see trumpi asi ka vaata trumpi asja osast ütles , et , et see oli nii idiootie asi ja nii nagu naljakas meie jaoks , vaata et nagu seda ei saa kindlasti juhtuda , et sellepärast me panime selle sisse nagu , ütleme , et ."
20190904,7,M,5.0089999999999995,uskuma,"Puhas kokkusattumus , on minu arvamus , ma pigem usun ka puhas kokkusattumus , ma ei taha uskuda , et mingi vend on ajarendur lihtsalt ."
