episode_id,section_index,gender,minutes,tunnus,lause
20210416,1,M,27.033,arvan,"Oi lapsepõlv oli mul päris kena , ma arvan , et sellist lapsepõlve , mis mul oli , võib-olla praegu saab , võib-olla ma ei tea , 10 inimest võib Valgamaal , et jah , et ma kasvasin üles talus ."
20210416,1,M,27.033,arvan,"Vot sellele ma ei oska vastust öelda , aga ma arvan , et see on kindlasti ka mõneti mind negatiivselt mõjutanud et kooli minnes oli mul kindlasti raskem , sest ma ei osanud , ma ei osanud nii hästi suhelda ja võib-olla see tekitas sellist argust rohkem sest mul ju vendi õdesid ei ole ."
20210416,1,M,27.033,arvan,"Nii suur osa oli tol ajal elust , et ma arvan , ma puudus võib olla kahest proovist ."
20210416,2,M,8.717833333333333,arvan,"Vot , ma vaidlen vastu , ma arvan , et see on ikkagi , oleneb rajoonis , kui sa elasid , et näiteks mina elasin , me sirliga elasime , ma ei mäleta , ma käisin keskkonnaministeeriumis praktika 2011. Aasta ."
20210416,4,M,10.882666666666667,arvan,"Ma arvan , et , Et kohe leidsin töökoha ."
20210416,4,M,10.882666666666667,arvan,"Ma arvan , et sobis küll jah ."
20210416,4,M,10.882666666666667,arvan,"Et kui ma kujutan ette , kui oleks tulnud mingi , ma ei tea , et kellegi ilus raba tahetakse üles kaevata ja mingi kodanikuaktsiooni d kindlasti siis oleks peavalu palju rohkem , aga ma arvan , minu eelkäija ja olid päris kõva töö ära teinud näiteks ju tõrva ."
20210416,4,M,10.882666666666667,arvan,"Aga ma leian , et tavainimesel ei ole vahet mis , mis ametkond see on , et minu kui ametniku kohus oli kindlasti , mida ma alati , ma arvan , ei teinud vana ma ikkagi vahepeal ütlesin küll , et sellega mina ei tegele , sellega tegeleb keskkonnaamet , helista sinna ."
20210416,5,M,17.14183333333333,arvan,"Ma arvan , et kolm kuud , eelmine suvi ja siis natuke sügist ka ja siis tulid juba sellised uued uued piirangud , mis tekitasid mõtted , et kui me teeme seda , kas me siis vallandame suure Kaose võib-olla peaks nad ka rahulikult võtma mingite asjadega , et sellest on küll veidi kahju , et võibolla ma ei oskagi sellepärast täit vastust sellele küsimusele anda , sest kogu aeg on nagu ."
20210416,5,M,17.14183333333333,arvan,"Aga ma jõuan sinna kahe lapse kõrval kahe lapse kõrvalt , mis , ma arvan küll , ei ole mingi vabandus ."
20210416,5,M,17.14183333333333,arvan,"Ja hakata väikestviisi elustiritalu pidama , siis aga ma arvan siis , kui võib-olla mul poisid on sellised kutsekooli ja keskkooliealised , et lähevad juba oma elu peale ära või ma arvan , siis ."
20210416,5,M,17.14183333333333,arvan,"Ja hakata väikestviisi elustiritalu pidama , siis aga ma arvan siis , kui võib-olla mul poisid on sellised kutsekooli ja keskkooliealised , et lähevad juba oma elu peale ära või ma arvan , siis ."
20210416,5,M,17.14183333333333,arvan,"Aga ütleme noh , isiklikus mõtes Ma arvan , et , Üks suund , mida ma on nagu huvitama hakanud , ongi noorsootöö , aga noorsootöö nagu teises võtmes , et pigem selline ."
20190108,1,M,24.004166666666663,arvan,"Omajagu ikka ausalt öeldes mina , mina kuidagi ei taju seda probleemi nagu üldse nii suurena , et mulle see aktsioon ausalt öeldes nagu väga ei meeldinud läheneda nagu sellisele probleemile niisuguste klassikaliste ma ei tea , Coca-Cola reklaami nagu võtetega , et et mina , mina sellele meeldivusele küll alla , ausalt öeldes , ausalt öeldes ma arvan , et ma arvan , et nad ma pigem arvan , et nad lõikavad ka näppu sellega , et väga palju siit inimesi see ikkagi see ikkagi nagu reaalselt häiris ."
20190108,1,M,24.004166666666663,arvan,"Omajagu ikka ausalt öeldes mina , mina kuidagi ei taju seda probleemi nagu üldse nii suurena , et mulle see aktsioon ausalt öeldes nagu väga ei meeldinud läheneda nagu sellisele probleemile niisuguste klassikaliste ma ei tea , Coca-Cola reklaami nagu võtetega , et et mina , mina sellele meeldivusele küll alla , ausalt öeldes , ausalt öeldes ma arvan , et ma arvan , et nad ma pigem arvan , et nad lõikavad ka näppu sellega , et väga palju siit inimesi see ikkagi see ikkagi nagu reaalselt häiris ."
20190108,1,M,24.004166666666663,arvan,"Omajagu ikka ausalt öeldes mina , mina kuidagi ei taju seda probleemi nagu üldse nii suurena , et mulle see aktsioon ausalt öeldes nagu väga ei meeldinud läheneda nagu sellisele probleemile niisuguste klassikaliste ma ei tea , Coca-Cola reklaami nagu võtetega , et et mina , mina sellele meeldivusele küll alla , ausalt öeldes , ausalt öeldes ma arvan , et ma arvan , et nad ma pigem arvan , et nad lõikavad ka näppu sellega , et väga palju siit inimesi see ikkagi see ikkagi nagu reaalselt häiris ."
20190108,1,M,24.004166666666663,arvan,"Ja ma arvan , et enamik , enamik inimesi , keda see häiris enamik nendest inimestest on ka nende potentsiaalsed , võib-olla valijad , nad on selles sihtrühmas kust võiks nende valijad nagu tulla , et ma arvan , et nad ka ei võitnud sellest nagu ütleme siis sellest nagu eilsest nagu šokifaasist sellele sellele kampaaniale ."
20190108,1,M,24.004166666666663,arvan,"Ja ma arvan , et enamik , enamik inimesi , keda see häiris enamik nendest inimestest on ka nende potentsiaalsed , võib-olla valijad , nad on selles sihtrühmas kust võiks nende valijad nagu tulla , et ma arvan , et nad ka ei võitnud sellest nagu ütleme siis sellest nagu eilsest nagu šokifaasist sellele sellele kampaaniale ."
20190108,1,M,24.004166666666663,arvan,"Ma arvan , et ei võitnud ."
