episode_id,section_index,gender,minutes,pos,tunnus,sona,lause
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,absoluutselt,unustama,"Sellepärast et noh , kui võtame praegu metsasõja on ju on kaks poolt , on siis nii-öelda looduskaitsjad ja metsamajandajaid ja mis mind , ma ei tea , kas ma võin niimoodi rääkida , mis mind häirib nii-öelda siis looduskaitsjate poolt on see pool , et absoluutselt unustatakse ära see sotsiaalne pool ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,absoluutselt,unustama,"Et see absoluutselt unustatakse ära ja pannakse Facebooki pilt üles , et näe , jälle mets võetakse maha ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,V,absoluutselt,segama,"Aga gümnaasiumi lõpus noh , gümnaasiumis tuli nagu teine elu , et oligi see kungla , mis tegelikult absoluutselt seganud mu hindeid ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,5,M,17.14183333333333,V,absoluutselt,ei,"Alternatiivsem popp , mis küll enam absoluutselt ei ole alternatiivne , sest väga palju tehakse seda maailmas näiteks nöpp , onju , aga hea , et ma hakkasin mõtlema üks päev , et seda popi nii ühe nagu seda päris popi , et tahaks kuulata lihtsalt häid lugusid , kus lauldakse ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,D,absoluutselt,absoluutselt,"Mitte kaifi , aga ma just mõtlen ja selgubki , et ei tasu mitte mingisugust kasu , tähendab minul ei olnud , küll aga oli Margus Linnamäel kindlasti absoluutselt absoluutselt , tema sai rikkaks ja , ja minust tegid Apothekas ka seda veel ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,D,absoluutselt,absoluutselt,"Ei , absoluutselt absoluutselt lihtsalt kiire vahemängu , jätame täna vahele ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,D,absoluutselt,lihtsalt,"Ei , absoluutselt absoluutselt lihtsalt kiire vahemängu , jätame täna vahele ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,A,absoluutselt,kindel,"Ei , seda muidugi , aga no ütleme praegu , et arvestades kõike seda , neid asjaolusid , hooaja alguse probleeme , siis praegu see Otepää võistlus oli kokkuvõttes ikkagi pigem positiivne , näitas , et ütleme see hooaeg päris raisus ei ole , näiteks mina olin enne seda võistlus absoluutselt kindel , et see hooaeg on täiesti raisus ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,V,absoluutselt,ei,"Et ühest küljest sa mängid võõrustaja Soome vastu , kes on lisaks veel mitte oma parimas koosseisus , aga sellegipoolest piisavalt heas koosseisus pingeid absoluutselt ei ole , Soome naiskonnal ja siis on Eesti naiskond , kes noh , olgem ausad , on näidanud selles tsüklis , et mingitel hetkedel võib psühholoogiliselt neil nagu raske olla ka ka seesama nädalavahetuse kohtumine , esimene keim ikkagi kodu publiku ees ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,A,absoluutselt,lihtne,"Et nüüd sellises olukorras see , see ei ole üldse lihtne mäng , absoluutselt lihtne mäng , just tänu sellele , millele sa viitasid , et selliste mängude kogemust vähemalt Eesti naiskonnana on nüüd kogutud ainult siis üks üks aasta põhimõtteliselt ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,A,absoluutselt,võrreldav,"Samamoodi , mis ma ütlesin , just Tarmole võrdsed ühte ja teistpidi absoluutselt võrreldavad asjad , mis mänedžeri , Rapla mänedžer on üldsegi klubi juht Jaak Karp , kes see lahti lased ?"
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,5,M,20.710666666666665,V,absoluutselt,ei,"Mina ei , mis ma siin puterdan , korvpallis päts number üks ja ei , absoluutselt ei mõistagi pääse , ma just mäletan ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,5,M,20.710666666666665,D,absoluutselt,jah,"Absoluutselt jah , nii ja aga teine asi on see kümnevõistlus on ju praegu nagu mina olen aru saanud sellest maailma kümnevõistlusest , meil on Kevin Maye ja siis tuleb tükk tühja maad , ehk siis nii hõbe kui vähemalt pronks on küll väga lahtised ja , ja selle võib võita ka üsna niisuguse ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,5,M,20.710666666666665,V,absoluutselt,mõtlema,"Ei , ei , mina pean alustama ja absoluutselt mõtlesime selle küsimuse hommikul Peebuga välja suure mõttetöö tulemusena ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,5,M,20.710666666666665,D,absoluutselt,kuidagi,Mängu käigus absoluutselt kuidagi peab .
