episode_id,section_index,gender,minutes,pos,tunnus,sona,lause
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,D,väga,palju,"Madis on praegu tõrva avatud noortekeskuse juhataja , endine Tõrva vallavalitsuse keskkonnaspetsialist , aga temas on väga palju muudki peale nende kahe ameti ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,D,väga,oluliselt,"Tere , head taskuhäälingu kuulajad on käes järjekordse osa aeg ja see on järjekorras neljas ja minul on täna saate külaliseks taas üks inimene , kes on ühtepidi noorsootööga väga oluliselt seotud , aga kelle taust noorsootöötajana üldse ei ole noorsootöötaja , aga sellest me kõigest saame täna rääkida , aga võib vist öelda , et elupõline Valgamaa inimene , Valgamaa armastaja ja nüüd on ilmselt õppinud ka armastama tõrvata tõrva , valda ja siinseid inimesi ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,väga,ei,"Väga ei armasta nii pikalt endast rääkida , aga samas olen ka , olen ka meelitatud ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,väga,töötama,"Rääkida mingist asjast , millest sa iga päev oled sees , milles sa väga töötad ja tead seda läbi lõhki , on ilmselt lihtsam kui ennast väga palju avada , eriti siin saates , kus tund aega räägitakse sinust endast , aga , aga lähme siis sinu juurde , et et nagu ikka , ma olen palunud kõigil oma CV enne saata , et , et ma saaksin ülevaate , mis inimesega tegu on ja midagi see ju tõesti räägib inimese kohta ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,D,väga,palju,"Rääkida mingist asjast , millest sa iga päev oled sees , milles sa väga töötad ja tead seda läbi lõhki , on ilmselt lihtsam kui ennast väga palju avada , eriti siin saates , kus tund aega räägitakse sinust endast , aga , aga lähme siis sinu juurde , et et nagu ikka , ma olen palunud kõigil oma CV enne saata , et , et ma saaksin ülevaate , mis inimesega tegu on ja midagi see ju tõesti räägib inimese kohta ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,väga,meeldima,"Et mulle väga meeldis millegipärast võib-olla võib-olla paljud sellega nagu ei suhestu , aga mulle lihtsalt meeldis väga , ma ei tea loomadele lehmale näiteks süüa ette viia ja ja mingi viie-kuue aastaselt mind juba usaldati nii-öelda siis lehma edasi panema , ehk siis võta ketist lahti ja ta teise kohta viia ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,väga,rumal,"Mul tuli mingi omast alust teha idee ja tagantjärgi muidugi väga rumal idee , et toon lehmad koju lehma ja mullika läbi soo läbi vee ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,väga,imelik,"Ja hea , et ei juhtunud nagu selles tõe ja õiguse ava stseenis , kus nad seda kuigi väga imelikul aastaajal aga lehma kuskilt Laukast välja aitavad , et mul läks hästi , näeks see vist vanavanaema , kes oli väga kuri Vana-Võrumaa vanainimene ei saanud pahaseks õnneks , sest ta ei saanud teada ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,väga,kuri,"Ja hea , et ei juhtunud nagu selles tõe ja õiguse ava stseenis , kus nad seda kuigi väga imelikul aastaajal aga lehma kuskilt Laukast välja aitavad , et mul läks hästi , näeks see vist vanavanaema , kes oli väga kuri Vana-Võrumaa vanainimene ei saanud pahaseks õnneks , sest ta ei saanud teada ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,väga,äge,"Eks need seadused ja asjad on ka muutunud , aga kanad juba on järjest tavalisemad , aga , aga ikkagi , esiteks maakodusid raske leida ja samas on on see maaelu endiselt , et et võib tunduda küll väga äge ja sa rääkisid ka , onju nendest ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,D,väga,palju,"Aga ses mõttes see maaelu väga palju muutunud , et kui üheksakümnendatel ikkagi see andis kõik Juurviljade kasvatamine loomapidamine andis sissetuleku ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,väga,suur,"Mis missugune see Valgas õppimine oli , et kas sinu aega jäi ka see , kui oli väga suur muutuste aeg Valga hariduselus ?"
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,väga,olema,"Ma ei ütleks küll , et midagi väga oleks muutunud , et ja pandi see Lembitu , Lembitu tänava pood , pood Lembitu tänava kool pandi küll kinni vahepeal , jah ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,väga,hea,"Ja võtsin kohe vastu , sest ma väga hea , väga hea eiütleja ei ole ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,väga,hea,"Ja võtsin kohe vastu , sest ma väga hea , väga hea eiütleja ei ole ."
