episode_id,section_index,gender,minutes,pos,tunnus,sona,lause
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,kui,olema,"No ennist arutasime siin nii-öelda eetriväliselt , et kumb siis roll parem on , kas on olla intervjueerija või siis intervjueeritav ja minu arust mõlemad vist jõudsime konsensusele , et et küsimusi küsida , ehk siis see positsioon , kus mina olen , on märksa lihtsam kui , kui olla see , kes peab vastama ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,D,kui,kuskil,"Aga jah , mulle meeldis siiamaani mul meeldib vaadata , kui kuskil üksik lehm kuskil põllu peal on , mida mitte kuskil pole enam , aga ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,kui,olema,"Mis missugune see Valgas õppimine oli , et kas sinu aega jäi ka see , kui oli väga suur muutuste aeg Valga hariduselus ?"
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,kui,mängima,"Ja mulle meeldis ka see , kui mängisime Etendust Aruks blondiin , kus ma mängisin , professor Kallahani , kus oli ka mul kaks laulu , täpselt samamoodi , et rääkida rütmis , siis laulda rütmis ja niimoodi , et oleks , et ma jääks hiljaks ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,D,kui,nii,"Aga sa tõid tegelikult väga ühe huvitava aspekti , et ei noh , nii suurt rolli ei saanud , aga samas kui nii mõelda , siis tihti need väiksemad rollid võivad väga-väga palju juurde anda ja nad jäävadki väga hästi meelde ja ja võib-olla kiiretaksegi , et , et see ilmselt selline muusikali kokkuvõttes on ju iga roll ju tähtis , et kui keegi nagu halvasti tantsib , seal see jääb meelde ja võib kogu selle üldpildi ära rikkuda , nii et see nagu ikkagi õpetab väga palju meeskonnatööd ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,kui,mõtlema,"Aga sinu tee läks hoopis Tartusse Eesti maaülikool ja ja võib-olla kui mõelda selle peale , et , et nii-öelda maapoiss kasvanud üles maakodus ja , ja ega , ega ka Valgamaa ju ongi põhimõtteliselt ju Tallinna inimeste jaoks ju maa maapiirkond ükskõik Siber ja just , et , et siis sul tuli ka ettevõtte metsamajandus ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,kui,võtma,"Sellepärast et noh , kui võtame praegu metsasõja on ju on kaks poolt , on siis nii-öelda looduskaitsjad ja metsamajandajaid ja mis mind , ma ei tea , kas ma võin niimoodi rääkida , mis mind häirib nii-öelda siis looduskaitsjate poolt on see pool , et absoluutselt unustatakse ära see sotsiaalne pool ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,kui,suur,"Et siinsamas kasvõi tõrva vallas , et et kui suur osa nii-öelda siis tulumaksust ja sotsiaalmaksust moodustab ikkagi metsamajanduse firmade nii-öelda need maksud makstud maksud , onju ja , ja kui palju see annab tööd inimestele maapiirkondades ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,D,kui,palju,"Et siinsamas kasvõi tõrva vallas , et et kui suur osa nii-öelda siis tulumaksust ja sotsiaalmaksust moodustab ikkagi metsamajanduse firmade nii-öelda need maksud makstud maksud , onju ja , ja kui palju see annab tööd inimestele maapiirkondades ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,kui,paks,"Tegelikult põdrale väga meeldib raesmikud , tal on see palju rohkem süüa kui paksus metsas , et ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,V,kui,tegema,"Ilmselt on seal see ka , et kas seda metsa kasvab juurde , istutatakse juurde , et või mis sellest nagu metsas siis nagu pärast saab , et kui tehakse jälle ma ei tea , põllumaa või , või , või siis ma ei tea , tehased siis on võibolla suurem probleem kui see , et võetakse maha , istutatakse juurde ja 20 30 aasta pärast on taas mets ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,D,kui,praegu,"Et kui praegu on väga , ma ei tea , millal see intervjuu läheb nagu välja , aga praegu on väga populaarne video , kuidas kojamees nii-öelda siis Tarmo Kruusimäe teeb seda veipi ma voodis istungi ajal , siis ma olin nagu päriselt kojamees ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,A,kui,raske,"Näiteks mu ülemus oli 75 aastane raamatupidaja Et jah , oli ka selliseid hetki , kus mõtlesin , et ma ei tea Et oleks võinud , et oleks võinud ikka kaitseväes ära käia , aga noh aga , aga siis seesama Tallinna elu , et ma saan aru , et 2012 kuni tegelikult tõrva jõudmiseni oli see Tallinna ja , ja Valgamaa vaheline elu , et kui raske või , või kui , kui keeruline või kui lihtne on ühel sellisel maa maainimesel minna ja elada nii-öelda suures metropolis , meie mõistes on ju Tallinnas , et ka minul on see tee läbi käidud ja , ja eks ma olen ka oma järeldusi ja mõtteid sinna pannud , aga , aga samas mulle tundub , et sellel on omad plussid ja miinused , aga kuidas sinul oli ?"
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,A,kui,keeruline,"Näiteks mu ülemus oli 75 aastane raamatupidaja Et jah , oli ka selliseid hetki , kus mõtlesin , et ma ei tea Et oleks võinud , et oleks võinud ikka kaitseväes ära käia , aga noh aga , aga siis seesama Tallinna elu , et ma saan aru , et 2012 kuni tegelikult tõrva jõudmiseni oli see Tallinna ja , ja Valgamaa vaheline elu , et kui raske või , või kui , kui keeruline või kui lihtne on ühel sellisel maa maainimesel minna ja elada nii-öelda suures metropolis , meie mõistes on ju Tallinnas , et ka minul on see tee läbi käidud ja , ja eks ma olen ka oma järeldusi ja mõtteid sinna pannud , aga , aga samas mulle tundub , et sellel on omad plussid ja miinused , aga kuidas sinul oli ?"
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,A,kui,lihtne,"Näiteks mu ülemus oli 75 aastane raamatupidaja Et jah , oli ka selliseid hetki , kus mõtlesin , et ma ei tea Et oleks võinud , et oleks võinud ikka kaitseväes ära käia , aga noh aga , aga siis seesama Tallinna elu , et ma saan aru , et 2012 kuni tegelikult tõrva jõudmiseni oli see Tallinna ja , ja Valgamaa vaheline elu , et kui raske või , või kui , kui keeruline või kui lihtne on ühel sellisel maa maainimesel minna ja elada nii-öelda suures metropolis , meie mõistes on ju Tallinnas , et ka minul on see tee läbi käidud ja , ja eks ma olen ka oma järeldusi ja mõtteid sinna pannud , aga , aga samas mulle tundub , et sellel on omad plussid ja miinused , aga kuidas sinul oli ?"
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,3,M,0.55783333333333,A,kui,raske,"See teekond siia tagasi tõrva on hea näide , kui raske või , või kui kerge see tegelikult võib olla ja tagasitulek ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,3,M,0.55783333333333,A,kui,kerge,"See teekond siia tagasi tõrva on hea näide , kui raske või , või kui kerge see tegelikult võib olla ja tagasitulek ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,D,kui,nii,"Praeguses hetkes , et ma nüüd hullult ei mäletagi seda tööd nii kõvasti , et ma olen nagu nii oma nagu peaga noh , nii tänases päevas hetkel , et kui sa küsid , et siis nagu tuleb meelde küll moment , aga see tundub kui nii kaua aega tagasi , et ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,V,kui,olema,"Et kui ma kujutan ette , kui oleks tulnud mingi , ma ei tea , et kellegi ilus raba tahetakse üles kaevata ja mingi kodanikuaktsiooni d kindlasti siis oleks peavalu palju rohkem , aga ma arvan , minu eelkäija ja olid päris kõva töö ära teinud näiteks ju tõrva ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,V,kui,ütlema,"Mis need mured olid nagu kui , kui ütleme , üks päevas , et kas on siis lihtsad mured või , või noh , siis noh , mõnikord on see , et tuleb inimene sellise murega , et sa tead , et sa tegelikult ilmselt teda aidata ei saa või , või , või ilmselt ei oskagi ."
