episode_id,section_index,gender,minutes,eitus,verb,lause
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ei,olema,"Tere , head taskuhäälingu kuulajad on käes järjekordse osa aeg ja see on järjekorras neljas ja minul on täna saate külaliseks taas üks inimene , kes on ühtepidi noorsootööga väga oluliselt seotud , aga kelle taust noorsootöötajana üldse ei ole noorsootöötaja , aga sellest me kõigest saame täna rääkida , aga võib vist öelda , et elupõline Valgamaa inimene , Valgamaa armastaja ja nüüd on ilmselt õppinud ka armastama tõrvata tõrva , valda ja siinseid inimesi ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ei,armastama,"Väga ei armasta nii pikalt endast rääkida , aga samas olen ka , olen ka meelitatud ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ei,teadma,"Oi lapsepõlv oli mul päris kena , ma arvan , et sellist lapsepõlve , mis mul oli , võib-olla praegu saab , võib-olla ma ei tea , 10 inimest võib Valgamaal , et jah , et ma kasvasin üles talus ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ära,hävitama,"Et kuigi ma sündisin ja Valga linnas üheteistkuuselt kolisin ära maale , et meil on seal alates 1890.-st aastast umbes 1890 , siis kodukoht maakodu , põline talu ja vanavanaema pidas seal lehmi ja teisi loomi ja koos oma koos oma tütre , et minu vanaemaga siis ja seal ma selle võib-olla kõige ilusam aja veetsingi kuni kooli minekuni ja kuni 90.-te lõpuni , kui , kui kõik inimesed oma loomad ära hävitasid ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ei,suhestuma,"Et mulle väga meeldis millegipärast võib-olla võib-olla paljud sellega nagu ei suhestu , aga mulle lihtsalt meeldis väga , ma ei tea loomadele lehmale näiteks süüa ette viia ja ja mingi viie-kuue aastaselt mind juba usaldati nii-öelda siis lehma edasi panema , ehk siis võta ketist lahti ja ta teise kohta viia ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ei,teadma,"Et mulle väga meeldis millegipärast võib-olla võib-olla paljud sellega nagu ei suhestu , aga mulle lihtsalt meeldis väga , ma ei tea loomadele lehmale näiteks süüa ette viia ja ja mingi viie-kuue aastaselt mind juba usaldati nii-öelda siis lehma edasi panema , ehk siis võta ketist lahti ja ta teise kohta viia ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ei,juhtuma,"Ja hea , et ei juhtunud nagu selles tõe ja õiguse ava stseenis , kus nad seda kuigi väga imelikul aastaajal aga lehma kuskilt Laukast välja aitavad , et mul läks hästi , näeks see vist vanavanaema , kes oli väga kuri Vana-Võrumaa vanainimene ei saanud pahaseks õnneks , sest ta ei saanud teada ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ei,saama,"Ja hea , et ei juhtunud nagu selles tõe ja õiguse ava stseenis , kus nad seda kuigi väga imelikul aastaajal aga lehma kuskilt Laukast välja aitavad , et mul läks hästi , näeks see vist vanavanaema , kes oli väga kuri Vana-Võrumaa vanainimene ei saanud pahaseks õnneks , sest ta ei saanud teada ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ei,saama,"Ja hea , et ei juhtunud nagu selles tõe ja õiguse ava stseenis , kus nad seda kuigi väga imelikul aastaajal aga lehma kuskilt Laukast välja aitavad , et mul läks hästi , näeks see vist vanavanaema , kes oli väga kuri Vana-Võrumaa vanainimene ei saanud pahaseks õnneks , sest ta ei saanud teada ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ei,käima,"Aga jah , selles mõttes oli küll väga-väga mõnus , lasteaias ma ei käinud ja et ma olin , veetsin veetsin oma vaba ajas terve aja vanaemaga ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ei,oskama,"Vot sellele ma ei oska vastust öelda , aga ma arvan , et see on kindlasti ka mõneti mind negatiivselt mõjutanud et kooli minnes oli mul kindlasti raskem , sest ma ei osanud , ma ei osanud nii hästi suhelda ja võib-olla see tekitas sellist argust rohkem sest mul ju vendi õdesid ei ole ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ei,oskama,"Vot sellele ma ei oska vastust öelda , aga ma arvan , et see on kindlasti ka mõneti mind negatiivselt mõjutanud et kooli minnes oli mul kindlasti raskem , sest ma ei osanud , ma ei osanud nii hästi suhelda ja võib-olla see tekitas sellist argust rohkem sest mul ju vendi õdesid ei ole ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ei,oskama,"Vot sellele ma ei oska vastust öelda , aga ma arvan , et see on kindlasti ka mõneti mind negatiivselt mõjutanud et kooli minnes oli mul kindlasti raskem , sest ma ei osanud , ma ei osanud nii hästi suhelda ja võib-olla see tekitas sellist argust rohkem sest mul ju vendi õdesid ei ole ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ei,olema,"Vot sellele ma ei oska vastust öelda , aga ma arvan , et see on kindlasti ka mõneti mind negatiivselt mõjutanud et kooli minnes oli mul kindlasti raskem , sest ma ei osanud , ma ei osanud nii hästi suhelda ja võib-olla see tekitas sellist argust rohkem sest mul ju vendi õdesid ei ole ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ei,oskama,"Ma olin hoopis teistsugust elu näinud , ma olin vahepeal ja ma sain ka Valgas mängida kuskil liivakastis ja olid omad garaažid , kus sai joosta ja aga , aga jah , minu elu oli hoopis teistsugune ja palju vabam , võib-olla et ma ei oska ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ei,kahetsema,"Ja vanaema õpetas tegelikult mind lugema ka , aga aga kokkuvõttes , no ma ei kahetse ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ei,tahtma,"No see muutunud kõik , et noh , esimene mõte , mis ma tahaks öelda , et et minu meelest see nullpunkt on nagu ületatud , et see maa ma ei tahaks öelda maa elu , aga maainimeste elu või selline Noh , ma olen näinud , kuidas kõik väheneb , kokku kukub , inimesed kolivad ära või pigem surevad ära , eks , onju ."
