episode_id,section_index,gender,minutes,pos,inetnsiivistaja,sona,lause
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,päris,kena,"Oi lapsepõlv oli mul päris kena , ma arvan , et sellist lapsepõlve , mis mul oli , võib-olla praegu saab , võib-olla ma ei tea , 10 inimest võib Valgamaal , et jah , et ma kasvasin üles talus ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,väga,rumal,"Mul tuli mingi omast alust teha idee ja tagantjärgi muidugi väga rumal idee , et toon lehmad koju lehma ja mullika läbi soo läbi vee ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,väga,imelik,"Ja hea , et ei juhtunud nagu selles tõe ja õiguse ava stseenis , kus nad seda kuigi väga imelikul aastaajal aga lehma kuskilt Laukast välja aitavad , et mul läks hästi , näeks see vist vanavanaema , kes oli väga kuri Vana-Võrumaa vanainimene ei saanud pahaseks õnneks , sest ta ei saanud teada ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,väga,kuri,"Ja hea , et ei juhtunud nagu selles tõe ja õiguse ava stseenis , kus nad seda kuigi väga imelikul aastaajal aga lehma kuskilt Laukast välja aitavad , et mul läks hästi , näeks see vist vanavanaema , kes oli väga kuri Vana-Võrumaa vanainimene ei saanud pahaseks õnneks , sest ta ei saanud teada ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,väga,äge,"Eks need seadused ja asjad on ka muutunud , aga kanad juba on järjest tavalisemad , aga , aga ikkagi , esiteks maakodusid raske leida ja samas on on see maaelu endiselt , et et võib tunduda küll väga äge ja sa rääkisid ka , onju nendest ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,päris,keeruline,"Mõnusatest piltidest ja mälestustest , aga tegelikkuses on see ju päris keeruline ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,väga,suur,"Mis missugune see Valgas õppimine oli , et kas sinu aega jäi ka see , kui oli väga suur muutuste aeg Valga hariduselus ?"
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,väga,hea,"Ja võtsin kohe vastu , sest ma väga hea , väga hea eiütleja ei ole ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,väga,hea,"Ja võtsin kohe vastu , sest ma väga hea , väga hea eiütleja ei ole ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,nii,suur,"Nii suur osa oli tol ajal elust , et ma arvan , ma puudus võib olla kahest proovist ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,väga,suur,"Kui oma oma seppana Tegelikult see Kungla on ju ühele noorele tõesti väga suur võimalus , aga samas on väga suur kohustus , nagu sa ütlesid , et kaks proovi jätsid ainult vahele ja tegelikult see proovist puudumine noh , võib-olla ka kungla mõttes ju ka natukene kuritegu , sest ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,väga,suur,"Kui oma oma seppana Tegelikult see Kungla on ju ühele noorele tõesti väga suur võimalus , aga samas on väga suur kohustus , nagu sa ütlesid , et kaks proovi jätsid ainult vahele ja tegelikult see proovist puudumine noh , võib-olla ka kungla mõttes ju ka natukene kuritegu , sest ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,nii,väärtuslik,"Sest üks üks proov on ju nii väärtuslik ja iga pühapäev ennast nagu valmis panna ja olla kolm või isegi rohkem tunde seal proovis , et et kuidas sina nagu nii kohusetundlik olid , sest mitte kõik ei ole nii kohusetundlikud ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,nii,kohusetundlik,"Sest üks üks proov on ju nii väärtuslik ja iga pühapäev ennast nagu valmis panna ja olla kolm või isegi rohkem tunde seal proovis , et et kuidas sina nagu nii kohusetundlik olid , sest mitte kõik ei ole nii kohusetundlikud ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,nii,kohusetundlik,"Sest üks üks proov on ju nii väärtuslik ja iga pühapäev ennast nagu valmis panna ja olla kolm või isegi rohkem tunde seal proovis , et et kuidas sina nagu nii kohusetundlik olid , sest mitte kõik ei ole nii kohusetundlikud ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,väga,suur,"Võib-olla koos kohustundlikus ka sellega võibolla mõnevõrra piirdus , et eks väga väga suur aur läks ikkagi ka omavahel vestlemise peale naljategemise peale ja ja kui oma nagu kord kätte jõudis , siis oli nagu mökk mökk vahepeal ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,väga,tuntud,"Aga sellegipoolest , esimene ja muidu jah , mulle ei , väga meeldis mulle , võib-olla see ei ole väga tuntud ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,nii,tähtis,Rollid ei olnud nii tähtsad enam või ma ei osanud neid .
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,A,hästi,nõrk,"Aga no tantsupool on mul hästi nõrk on selles mõttes Ja ma olen sinuga nõus , sellepärast et minul oli ka see kõige nõrgem , et laulmisega enam-vähem sai , sai hakkama ja , ja näitlemine ka , olenes ju rollist ."
