episode_id,section_index,gender,minutes,verb,lause
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,räägitakse,"Rääkida mingist asjast , millest sa iga päev oled sees , milles sa väga töötad ja tead seda läbi lõhki , on ilmselt lihtsam kui ennast väga palju avada , eriti siin saates , kus tund aega räägitakse sinust endast , aga , aga lähme siis sinu juurde , et et nagu ikka , ma olen palunud kõigil oma CV enne saata , et , et ma saaksin ülevaate , mis inimesega tegu on ja midagi see ju tõesti räägib inimese kohta ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,usaldati,"Et mulle väga meeldis millegipärast võib-olla võib-olla paljud sellega nagu ei suhestu , aga mulle lihtsalt meeldis väga , ma ei tea loomadele lehmale näiteks süüa ette viia ja ja mingi viie-kuue aastaselt mind juba usaldati nii-öelda siis lehma edasi panema , ehk siis võta ketist lahti ja ta teise kohta viia ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ületatud,"No see muutunud kõik , et noh , esimene mõte , mis ma tahaks öelda , et et minu meelest see nullpunkt on nagu ületatud , et see maa ma ei tahaks öelda maa elu , aga maainimeste elu või selline Noh , ma olen näinud , kuidas kõik väheneb , kokku kukub , inimesed kolivad ära või pigem surevad ära , eks , onju ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,tehti,"Et enne seda tehti mingi remont ära ja siis pärast mind Ma olin viimane lend , kes lõpetas Valga gümnaasiumi ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,pandi,"Ma ei ütleks küll , et midagi väga oleks muutunud , et ja pandi see Lembitu , Lembitu tänava pood , pood Lembitu tänava kool pandi küll kinni vahepeal , jah ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,pandi,"Ma ei ütleks küll , et midagi väga oleks muutunud , et ja pandi see Lembitu , Lembitu tänava pood , pood Lembitu tänava kool pandi küll kinni vahepeal , jah ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,kiideti,"Gees Grise superstaar kus noh , esimene oli kindlasti kõige meeldejäävam kus ma mängisin pilatust Isegi lehes mind pärast kiideti ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,tantsiti,"Seal mul ei olnud mingit rolli ja siis oli veel üks , kus tantsiti hästi palju ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,arvatakse,"Sest pigem oli see noore inimese hirm , et mida ma teen nüüd ja pigem oli see selline jooksmine , et et midagi peab minust saama ja ma ei saa see jääda Valka ema juurde diivanile arvutisse passima , et mis minust arvatakse siis ja mis minust saab siis ja ja nii üldse ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,võetud,"Praegu ju väga aktuaalne teema , metsa majandamine ja ja kui selle peale üldse mõelda , et noh , kui , Liikuda siin Valgamaal ringi , siis jälle aastad , et oh , et üks maa metsa maha võetud , et mis sa sellest kõigest arvad ?"
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,unustatakse,"Sellepärast et noh , kui võtame praegu metsasõja on ju on kaks poolt , on siis nii-öelda looduskaitsjad ja metsamajandajaid ja mis mind , ma ei tea , kas ma võin niimoodi rääkida , mis mind häirib nii-öelda siis looduskaitsjate poolt on see pool , et absoluutselt unustatakse ära see sotsiaalne pool ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,makstud,"Et siinsamas kasvõi tõrva vallas , et et kui suur osa nii-öelda siis tulumaksust ja sotsiaalmaksust moodustab ikkagi metsamajanduse firmade nii-öelda need maksud makstud maksud , onju ja , ja kui palju see annab tööd inimestele maapiirkondades ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,unustatakse,"Et see absoluutselt unustatakse ära ja pannakse Facebooki pilt üles , et näe , jälle mets võetakse maha ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,pannakse,"Et see absoluutselt unustatakse ära ja pannakse Facebooki pilt üles , et näe , jälle mets võetakse maha ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,võetakse,"Et see absoluutselt unustatakse ära ja pannakse Facebooki pilt üles , et näe , jälle mets võetakse maha ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,öeldakse,"Aga mind väga häirib see ka , et alati öeldakse , et kõigele ei saa ju hinnalipikut panna ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,müüakse,Ja Eestis on Eesti on metsarikas maa ja selle jaoks müüakse metsa .
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,hakatakse,"Aga muidugi ka teine pool , vahepeal tundub lihtsalt nii südametu metsamajandajate poole , et hakata hakatakse siis naeruvääristama , et oma lenduväravatega ja hakkame hoopis metsmaasikat kaitsma ja et nendele nagu siis absoluutselt see lageraielank nagu mingid mingit nagu tundeid ei tekita , et ülikeeruline teema ja ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,Pannakse,"Pannakse põdra pilt üles ja öeldakse , et näe , põde tuleb maanteele , metsad võetakse maja , ta pole kuskil elada ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,öeldakse,"Pannakse põdra pilt üles ja öeldakse , et näe , põde tuleb maanteele , metsad võetakse maja , ta pole kuskil elada ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,võetakse,"Pannakse põdra pilt üles ja öeldakse , et näe , põde tuleb maanteele , metsad võetakse maja , ta pole kuskil elada ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,istutatakse,"Ilmselt on seal see ka , et kas seda metsa kasvab juurde , istutatakse juurde , et või mis sellest nagu metsas siis nagu pärast saab , et kui tehakse jälle ma ei tea , põllumaa või , või , või siis ma ei tea , tehased siis on võibolla suurem probleem kui see , et võetakse maha , istutatakse juurde ja 20 30 aasta pärast on taas mets ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,tehakse,"Ilmselt on seal see ka , et kas seda metsa kasvab juurde , istutatakse juurde , et või mis sellest nagu metsas siis nagu pärast saab , et kui tehakse jälle ma ei tea , põllumaa või , või , või siis ma ei tea , tehased siis on võibolla suurem probleem kui see , et võetakse maha , istutatakse juurde ja 20 30 aasta pärast on taas mets ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,võetakse,"Ilmselt on seal see ka , et kas seda metsa kasvab juurde , istutatakse juurde , et või mis sellest nagu metsas siis nagu pärast saab , et kui tehakse jälle ma ei tea , põllumaa või , või , või siis ma ei tea , tehased siis on võibolla suurem probleem kui see , et võetakse maha , istutatakse juurde ja 20 30 aasta pärast on taas mets ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,istutatakse,"Ilmselt on seal see ka , et kas seda metsa kasvab juurde , istutatakse juurde , et või mis sellest nagu metsas siis nagu pärast saab , et kui tehakse jälle ma ei tea , põllumaa või , või , või siis ma ei tea , tehased siis on võibolla suurem probleem kui see , et võetakse maha , istutatakse juurde ja 20 30 aasta pärast on taas mets ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,võetakse,"Ei , ega sellist asja kindlasti Eestis ei ole , et asemel dab põld või tehas , et et mets kaseb ise ses mõttes , et kui mets võetakse maha , siis sinna tuleb kindlasti mets tagasi ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,istutatakse,"Aga noh , istu , istu , istutatakse sellepärast , et aetakse sellist metsa nagu inimesed tahavad ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,aetakse,"Aga noh , istu , istu , istutatakse sellepärast , et aetakse sellist metsa nagu inimesed tahavad ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,öeldakse,"Ja , ja võib-olla tulla selle eelmise nagu sõnaploki juurde tagasi , siis noh mind võib-olla metsamajandajate juures häirib see ka , et öeldakse , et mets vajab hooldamist , noh näiteks mets ise vaja ju tegelikult mitte midagi , et inimene vajab ikkagi puitu , et teenida tasu majanduslikku tasu , et selle jaoks on vaja metsa majandada ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,tahetud,"Aga noh , nüüd ongi see , et miks sa ei läinud siis , eks , et et ma ei tea , iga , noh , see on onu Heinost , rääkisid , on ju siis ma ütlen ka , et onu Heinolikult õige mees peab ikka kaitseväes ära käima on ju , räägib mees , kes kaitseväkke , keda ei tahetud ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,võetud,"Ma tegin ja see ese põhjal ei võetud mind , no ma sobisin väga hästi sinna kaitseväkke , ses mõttes Et tervislikke probleeme mul ei olnud nii-öelda , aga eks onu Heino oleks minu juures kindlasti õigus natukene ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,käidud,"Näiteks mu ülemus oli 75 aastane raamatupidaja Et jah , oli ka selliseid hetki , kus mõtlesin , et ma ei tea Et oleks võinud , et oleks võinud ikka kaitseväes ära käia , aga noh aga , aga siis seesama Tallinna elu , et ma saan aru , et 2012 kuni tegelikult tõrva jõudmiseni oli see Tallinna ja , ja Valgamaa vaheline elu , et kui raske või , või kui , kui keeruline või kui lihtne on ühel sellisel maa maainimesel minna ja elada nii-öelda suures metropolis , meie mõistes on ju Tallinnas , et ka minul on see tee läbi käidud ja , ja eks ma olen ka oma järeldusi ja mõtteid sinna pannud , aga , aga samas mulle tundub , et sellel on omad plussid ja miinused , aga kuidas sinul oli ?"
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,tahetakse,"Et kui ma kujutan ette , kui oleks tulnud mingi , ma ei tea , et kellegi ilus raba tahetakse üles kaevata ja mingi kodanikuaktsiooni d kindlasti siis oleks peavalu palju rohkem , aga ma arvan , minu eelkäija ja olid päris kõva töö ära teinud näiteks ju tõrva ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,mõeldud,"Aga , aga tol hetkel see oligi vist täpselt minule mõeldud siin siin maailmas ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,murtud,"Oli nii mures , murtud , et keskkonnaameti ga ta kuidagi suutnud suhelda , neid kirjutada ja siis telefoni teel , ma andsin talle kuidagi , motiveerisin teda , et palun kirjuta see kiri lihtsalt ära ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,soovitati,"Aga see , selleks ma väga selline isoteerik inimene ei ole , aga mulle soovitati proovida ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,5,M,17.14183333333333,kasutatud,"Ostsin endale , kogusin raha ja ostsin 5005 5500 krooni eest juba kallima raha eest ostsin kasutatud aga tuunitud ratta , kus oli juba kõik paremad jupid küljes ja ostsin tolle endale ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,5,M,17.14183333333333,tuunitud,"Ostsin endale , kogusin raha ja ostsin 5005 5500 krooni eest juba kallima raha eest ostsin kasutatud aga tuunitud ratta , kus oli juba kõik paremad jupid küljes ja ostsin tolle endale ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,5,M,17.14183333333333,pandud,"Ma ei ole nii hullu pandud , et ma ei ole ühtegi luud murnud , mul on lihtsalt paar nii-öelda siis mõra ja väljaväänamised ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,5,M,17.14183333333333,tehakse,"Alternatiivsem popp , mis küll enam absoluutselt ei ole alternatiivne , sest väga palju tehakse seda maailmas näiteks nöpp , onju , aga hea , et ma hakkasin mõtlema üks päev , et seda popi nii ühe nagu seda päris popi , et tahaks kuulata lihtsalt häid lugusid , kus lauldakse ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,5,M,17.14183333333333,lauldakse,"Alternatiivsem popp , mis küll enam absoluutselt ei ole alternatiivne , sest väga palju tehakse seda maailmas näiteks nöpp , onju , aga hea , et ma hakkasin mõtlema üks päev , et seda popi nii ühe nagu seda päris popi , et tahaks kuulata lihtsalt häid lugusid , kus lauldakse ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,5,M,17.14183333333333,võeti,"Et minu meelest Noh , kui me tuleme korraks selle metsa sõja juurde juurde tagasi korraks ainult puutun , seda siis ongi , et et sa võid ju rääkida , näe , mets võeti maha , aga see pole sinu oma ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,5,M,17.14183333333333,väärkoheldud,"Et kindlasti ma tahan ennast Nii-öelda arendada ja õppida juurde , et võib-olla sellist psühholoogilist teemat , et et väärkoheldud lapsed ja , ja , ja selline teema , et ma leian , et üks suund , kus ma , kus ma võiks minna , on , on see suund ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666666,aeti,"Trammipeatuse aktsioon kus aeti nagu venelased ja , ja eestlased eri pooltele seisma ja , ja , ja kui ma nüüd täna uudiseid lugesin , siis räägitakse , et Eesti 200 , nüüd üritab venelasi eestlasi lahku ajada ."
