episode_id,section_index,gender,minutes,sõna,lause
20210416,1,M,27.033,natukene,"Räägime Madisega tema elust , tema tööst ja tegemistest ja ka natukene metsa majandamisest ."
20210416,1,M,27.033,natukene,"Kui oma oma seppana Tegelikult see Kungla on ju ühele noorele tõesti väga suur võimalus , aga samas on väga suur kohustus , nagu sa ütlesid , et kaks proovi jätsid ainult vahele ja tegelikult see proovist puudumine noh , võib-olla ka kungla mõttes ju ka natukene kuritegu , sest ."
20210416,1,M,27.033,natukene,"Et see peab olema ikka mingi selline kirg , et sinna minna ja ma olen ise ka mõelnud selle peale , et et või natukene kahetsenud , et võib-olla oleks pidanud proovima , aga samas ."
20210416,1,M,27.033,natukene,Või sellisest kainest kahe kahe jalaga maa peal olemisest jäi puudu natukene .
20210416,1,M,27.033,natukene,Ja see natukene muutus selliseks samuki jooksmiseks .
20210416,2,M,8.717833333333333,natukene,"Ma tegin ja see ese põhjal ei võetud mind , no ma sobisin väga hästi sinna kaitseväkke , ses mõttes Et tervislikke probleeme mul ei olnud nii-öelda , aga eks onu Heino oleks minu juures kindlasti õigus natukene ."
20210416,3,M,0.55783333333333,natukene,"Aga noh , jah , selles mõttes , et me jõuame ka selleni , et , et selle hirvede ja huntidega vist põtradega tuli pärast ka nagu tegeleda natukene , aga aga see Tallinna elu lõppeb , ma mäletan tuli teil ju üsna ootamatult ja , ja tegelikult Minu arust teie ."
20210416,4,M,10.882666666666667,natukene,"No ma tean sind ka enam-vähem noh , nüüd natuke natuke täpsemalt täpsemalt vist ja on halb sõna öelda , aga umbes kaheksa-üheksa aastat ja ja , ja nii palju , kui mulle tundus see , mida sa vabal ajal teed , see , mis missugune hing , hing sinust nagu välja kumab , siis see ametniku töö tundus nagu kuidagi kummaline sinu poole , et et ongi niisugune natuke hipster ikka natukene selline vabameelsus ja siis siis nagu tõesti selline päris keeruline ametnikutöö , et kus tuli suhelda , on volikoguga , tuli suhelda , vallakodanikega , olla viisakas , täita ametnik ametniku rolle , kohuseid , et et aga , aga tagantjärgi ma mõtlen , et vist nagu tõesti sobis see sulle ."
20210416,5,M,17.14183333333333,natukene,"Ei ole nagu ta on , väga hea muusika , aga minu kõrvu ta ei aita , et võib-olla mulle meeldib natukene ."
20210416,5,M,17.14183333333333,natukene,"Nad nii-öelda siis kolmekesti või kahekesti võtavad terve selle Spotify tabeli nagu enda enda enda enda alla , et et minu meelest isegi natukene ."
20210416,5,M,17.14183333333333,natukene,"Et ikkagi nii-öelda jääda samasse valdkonda , aga natukene teistmoodi ."
20190108,2,M,21.29866666666667,natukene,Aga mis mind nagu muretsema natukene paneb .
20190108,2,M,21.29866666666667,natukene,"Kui sõnastada Jaani mõtet teistmoodi , siis iga ma arvan , peitub selles küll , et ma vaatan praegu isegi õhtulehe veebis on ilmunud Jaak Arbiga nüüd esimene natukene pikem usutlus sel teemal , et et mis siis nagu juhtus ja siin tiirleb see jutt ikkagi väga , ainult selle kahe asja ümber , üks on peatreener isik ja teine on nagu selle hooaja umbes , et kas jõuame play offi või ei jõua play - off'i ."
