episode_id,section_index,gender,minutes,verb,lause
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,arvan,"Oi lapsepõlv oli mul päris kena , ma arvan , et sellist lapsepõlve , mis mul oli , võib-olla praegu saab , võib-olla ma ei tea , 10 inimest võib Valgamaal , et jah , et ma kasvasin üles talus ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,arvan,"Vot sellele ma ei oska vastust öelda , aga ma arvan , et see on kindlasti ka mõneti mind negatiivselt mõjutanud et kooli minnes oli mul kindlasti raskem , sest ma ei osanud , ma ei osanud nii hästi suhelda ja võib-olla see tekitas sellist argust rohkem sest mul ju vendi õdesid ei ole ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,loodan,Ja loodan ja kuulajad võib- olla ei pane ära liiga palju mingi lehma jutte .
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,ütleme,"Nii et see suuremad vapustused jäid saamata , nii et selline vana hea torukool Ja et sama õppelavaataja sama direktor terve aja Aga pärast ütleme kooli ajal , mis need hobid olid , millega sa tegelesid , et , et ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,arvan,"Nii suur osa oli tol ajal elust , et ma arvan , ma puudus võib olla kahest proovist ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,tundub,"Aga muidugi ka teine pool , vahepeal tundub lihtsalt nii südametu metsamajandajate poole , et hakata hakatakse siis naeruvääristama , et oma lenduväravatega ja hakkame hoopis metsmaasikat kaitsma ja et nendele nagu siis absoluutselt see lageraielank nagu mingid mingit nagu tundeid ei tekita , et ülikeeruline teema ja ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,tundub,"Näiteks mu ülemus oli 75 aastane raamatupidaja Et jah , oli ka selliseid hetki , kus mõtlesin , et ma ei tea Et oleks võinud , et oleks võinud ikka kaitseväes ära käia , aga noh aga , aga siis seesama Tallinna elu , et ma saan aru , et 2012 kuni tegelikult tõrva jõudmiseni oli see Tallinna ja , ja Valgamaa vaheline elu , et kui raske või , või kui , kui keeruline või kui lihtne on ühel sellisel maa maainimesel minna ja elada nii-öelda suures metropolis , meie mõistes on ju Tallinnas , et ka minul on see tee läbi käidud ja , ja eks ma olen ka oma järeldusi ja mõtteid sinna pannud , aga , aga samas mulle tundub , et sellel on omad plussid ja miinused , aga kuidas sinul oli ?"
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,tundub,Praegu tundub ikka väga nagu uskumatu on summa .
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,arvan,"Vot , ma vaidlen vastu , ma arvan , et see on ikkagi , oleneb rajoonis , kui sa elasid , et näiteks mina elasin , me sirliga elasime , ma ei mäleta , ma käisin keskkonnaministeeriumis praktika 2011. Aasta ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,arvan,"Ma arvan , et , Et kohe leidsin töökoha ."
